id,Crop,Commodity,Province,Region,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4
10,Abaca,Non-Food and Industrial Crops,Camarines Sur,REGION V (BICOL REGION),139,99.71,83.73,69.09,142.32,96.74,282.89,270.12,247.8,97.48,290.95,272.67,251.76,97.81,292.4,269.94,253.02,98.3,248.6,256.44,227.8,95.9,261.03,256.5,258.44,88.36,287.58,263.04,299.79,66.49,223.36,220.09,223.91,57.35,259.88,252.93,217.99,50.37,249.02,243.37,174.61,47.62,231.17,209.3,136.37,32.4,155.37,134.37,254.78,32.59,164.25,124.55
11,Abaca,Non-Food and Industrial Crops,Camiguin,REGION X (NORTHERN MINDANAO),6.23,5,2.15,5.2,5.16,7.58,3,6.4,7.25,9.55,3.27,7,7.5,10,3.5,6.5,6.82,8.25,2.15,6,4.5,9.75,2,5,8.2,9,2.62,2.36,6.64,8,2.8,1.58,5.86,7.16,1.91,1.42,9.24,6.95,2.22,1.69,15.2,6.11,2.56,3.17,11.86,6.91,3.6,3.5,11.09,3.4,4.69,5.7
12,Abaca,Non-Food and Industrial Crops,Capiz,REGION VI (WESTERN VISAYAS),3.36,4.2,4.36,0,3.4,4.31,4.5,2.94,3.25,5.55,6,5,4.22,6.35,6.6,2.7,2.95,4.45,5.96,47.75,14,16,13.2,49.85,22.4,25.6,51.67,52.94,29.12,64.75,53.4,54.4,31.13,66.67,53.93,54.75,35.1,68.64,55.17,55.98,33.45,65.35,50.2,51.07,31.95,60.08,53.71,42.47,30.62,57.58,49.68,56.17
13,Abaca,Non-Food and Industrial Crops,Catanduanes,REGION V (BICOL REGION),4402,5083.39,4140.77,2835.2,4914.37,5866.21,4762.4,2975.96,5160.45,6062.14,4652,3170.4,5375.2,6309.64,4920,3487.5,5649,6935.8,6393.7,6456.11,6159.39,7256.93,6475.51,6527.13,6564.68,7059.54,6552,6688,5496,5996.37,6009,5770.41,5942.12,5868.05,7319.56,6717.12,6254.68,5749.16,8074.21,5862.66,5637.34,5632.68,8247.56,6063.4,3412.14,4702.49,2809.2,3890.88,5101.39,5361.44,6376.99,5061.02
14,Abaca,Non-Food and Industrial Crops,Cebu,REGION VII (CENTRAL VISAYAS),4.42,8.15,1,1.45,3.32,9.38,2.14,1.55,3,10.47,6.53,1.5,3.12,9.25,1,3.5,2.25,4.25,2.83,0.68,2.63,1.81,4.35,5.46,3.12,4.17,3.48,3.33,0.84,1.19,1.61,2.87,1.76,2.84,1.4,2.28,1.23,2.11,1.25,2,1.11,2,1.46,1.5,1,1.7,1.37,1.38,1.76,1.09,0.74,1.3
15,Abaca,Non-Food and Industrial Crops,City of Davao,REGION XI (DAVAO REGION),5.42,6.45,5.25,5.31,5.25,6.6,4.05,6.15,5.85,6.75,5.1,6.83,5.48,6.48,5.13,6.78,5.65,6.52,5.25,6.8,5.5,6.98,5.75,6.87,5.3,7.5,5.65,8.35,10.17,12.98,10.25,12.8,12.25,15.55,15.8,15.3,12.1,16.67,18.2,14.86,13.1,15.9,19.3,21.07,18.47,17.24,20.44,34.32,20.24,18.94,20.94,35.21
16,Abaca,Non-Food and Industrial Crops,City of Zamboanga,REGION IX (ZAMBOANGA PENINSULA),8.2,8.1,7,7.01,9.5,9.7,26.5,27.6,27.6,22,28,29,28,22.4,28.77,42,37,40,30.4,53,41,52.5,36.4,53.42,39.77,51.19,26.29,30,39.43,52.47,24.19,32.4,42.8,57.03,26.31,33.94,44.86,63,30.44,36.03,47.86,62.89,31.13,37.02,48.64,84.61,30.22,37.43,49.84,85.43,31.43,37.99
17,Abaca,Non-Food and Industrial Crops,Cotabato,REGION XII (SOCCSKSARGEN),2.96,4.64,2.29,3.4,2.11,4.56,2.32,4.23,2.8,6.62,3.3,12.01,10.04,11.62,10.6,15.44,12.15,13.55,11.37,15.64,14.72,15.93,14.32,18.77,13.25,6.96,12.66,13.1,9.09,7.2,13.21,14.15,7.64,6,14.35,17.44,8.02,9.5,14.97,14.78,6.24,5.5,15.3,18.72,6,7.5,23.9,23.03,7.8,10.6,30.19,31.25
18,Abaca,Non-Food and Industrial Crops,Davao Occidental,REGION XI (DAVAO REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740.61,797.27,1055.18,775.98,750.95,831.56,919.8,814.78,758.46,1048.45,999.82,827.1,716.91,1048.55,989.82,826.27
19,Abaca,Non-Food and Industrial Crops,Davao Oriental,REGION XI (DAVAO REGION),1399.54,929.9,1391.34,1397.63,1402.69,936.76,1291.53,1345,1398.74,930.86,1319.86,1082.65,748.41,790.58,963.49,981.93,741.12,799.34,1469.44,1128.38,787.65,806.45,1472.95,1175.62,790.65,787.83,1399.65,1207.64,795.84,797.68,1414.75,1221.48,796.85,801.26,1395.65,1208.65,786.84,837.79,1477.17,1267.63,819.65,779.8,1393.71,1282.84,798.74,856.5,1337.46,1317.21,826.7,913.18,1503.76,1278.38
20,Abaca,Non-Food and Industrial Crops,Davao de Oro,REGION XI (DAVAO REGION),249.31,620.24,294.25,336.08,211.07,542.71,161.8,78.75,125.21,511.64,158.54,52.59,50.36,267.26,72.45,69.55,48.31,271.35,138.34,59.03,68.46,276.37,146.09,62.04,69.32,224.3,142.08,60.12,80.14,298.31,140.37,68.34,77.45,291.12,145.23,75.28,79.66,299.33,150.84,78.04,82.24,291.25,158.24,80.32,83.48,286.99,164.55,86.21,81.55,278.95,171.05,99.52
21,Abaca,Non-Food and Industrial Crops,Davao del Norte,REGION XI (DAVAO REGION),96.12,85.35,122.47,162.51,100.04,108.53,41.94,52.78,72.65,87.53,46.65,47.87,65.31,79.56,43.17,45.36,61.28,85.44,45.58,49.63,64.32,88.33,47.21,51.8,61.66,83.98,45.65,48.25,58.1,78.44,44.79,46.14,56.54,75.99,42.4,44.14,53.01,70.58,42.11,40.22,49.21,69.5,41.11,37.11,45.89,67.24,40.89,37.17,43.41,65.78,41.48,36.47
22,Abaca,Non-Food and Industrial Crops,Davao del Sur,REGION XI (DAVAO REGION),784.13,745.26,750.12,854.97,791.33,795.49,626.17,717.58,793.45,805.12,656.14,725.13,793.88,892.07,658.15,723.23,811.02,898.85,757.22,738.61,819.12,909.14,760.31,739.25,812.54,810.45,776.66,741.32,821.62,819.81,893.16,813.38,849.39,865.23,980.67,823.14,85.71,92.27,122.11,89.8,86.45,92.8,138.73,81.43,85.71,107.65,145.85,92.33,75.13,104.62,145.19,82.78
23,Abaca,Non-Food and Industrial Crops,Eastern Samar,REGION VIII (EASTERN VISAYAS),88.35,168.34,63.47,79.85,90,165.2,64.19,77.92,88.56,167.4,66.55,78.5,89.35,168.65,67.8,44.1,63.25,131.25,57.25,40.2,3.72,21.35,54,43.89,3.62,25,23.26,27.63,2.89,3.89,0.66,10.02,3.5,2.7,2.4,9.5,2,3.5,2.8,5.7,1.8,0.77,1.95,3.2,1.55,0.72,1.9,3.1,1.54,0.7,1.89,3.09
24,Abaca,Non-Food and Industrial Crops,Iloilo,REGION VI (WESTERN VISAYAS),37.25,70,87.86,132,46.5,77,94.58,142.56,77.16,123.71,134.54,92.8,48.21,83.26,98.1,81.4,42,62.78,82.5,53.49,40,80.81,95,48.98,43.78,62.18,71.51,59.18,36.64,48.62,65.62,56,24.81,50.8,68,60,31.11,40,35,30,32,45,12.75,13.3,15.79,19.48,24.13,16.21,9.81,16.64,23.26,12.79
25,Abaca,Non-Food and Industrial Crops,Laguna,REGION IV-A (CALABARZON),0.43,0.36,0.5,0.77,0.4,0.3,1.02,0.83,0.5,0.4,1.03,0.84,0.5,0.45,1.05,0.85,0.5,0.48,0.5,0.83,0,0.5,0.78,0.85,0.8,0.97,0.9,1,0.81,0.9,1.08,1.01,0.96,0.97,0.84,1.02,1.7,0.99,1,1,1.78,0.98,1.1,1.05,1.33,0.97,1.06,1,1.61,0.8,1.37,0.92
26,Abaca,Non-Food and Industrial Crops,Lanao del Norte,REGION X (NORTHERN MINDANAO),14,12,20,52,13,10,18,50,12,20,22,55,14,24,24,57,15,26,25,76.11,16,35,25.5,80,17,60,30,85,16,26.53,26,80,14,25,27.5,83,15,23,25,86,21,24.55,26,84,25,25,25.8,80,27,30,35,121.51
27,Abaca,Non-Food and Industrial Crops,Lanao del Sur,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),305,595,400,505,295,580,360,495,272.31,535.38,327.6,490,285.92,550,347.6,512.2,296.1,555,330.25,495.45,270.5,650.2,300.2,480.55,275,662,300.32,484.63,275.26,663,300.4,490.15,276,670,303.56,493.9,278,685,306.5,500,281,686,306.54,502,282,688,307,502.3,281.59,686.58,306.2,501.8
28,Abaca,Non-Food and Industrial Crops,Leyte,REGION VIII (EASTERN VISAYAS),1940.55,2455.36,1989.76,1985.99,1572.12,2198.45,1969.86,1686.27,1255.66,2120,1920.5,1310.52,1068.32,1804.2,1640.25,320.12,280.88,480.66,470.33,250.66,290.55,495.25,485.65,260.44,320,510.95,495.12,290.65,283.05,468.44,487.6,345.87,263.48,430.14,480,283.21,254.26,399.76,503.51,228.34,182.64,350.22,548.25,225,183,325,524.92,235.95,178.19,312,485.86,230.35
29,Abaca,Non-Food and Industrial Crops,Maguindanao,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),28,3.2,11,8,27,3,9,7,26,18,9.5,5,20,4,8,4.97,18,3.75,7.55,4,17,3.5,7,3.5,15,3,6.9,3,13,3.1,6.75,2.9,12.59,3,7.1,3,12.4,2.8,6.65,2.8,12.2,2.5,6.2,2.65,12,2.2,6,2.5,11.85,2,5.6,2.35
30,Abaca,Non-Food and Industrial Crops,Marinduque,MIMAROPA REGION,0.78,0.82,1.27,0.67,0.81,0.83,1.28,0.68,0.89,1.06,1.27,0.52,0.93,1.13,1.1,0.5,0.89,0.45,0.88,0.31,0.48,0.54,0.51,0.3,0.46,0.5,0.44,0.5,0.31,0.42,0.43,0.49,0,0.44,0.45,0.5,0.3,0.43,0,0,0.29,0.42,0.4,0.29,0.21,0.18,0.27,0.31,0.34,0.26,0.2,0.26
31,Abaca,Non-Food and Industrial Crops,Misamis Occidental,REGION X (NORTHERN MINDANAO),6.5,14.28,19.6,35,6.85,17.85,18.5,34.23,7.89,16.5,19.75,35.5,8.44,16.8,19.64,32,8.97,17.5,19.87,33,9.5,19,10,30,9.6,55,11,31.5,9.32,59,10.2,20,8.7,32,9.5,19,8.1,28,9,18,7.5,26.7,7.04,17.5,7.3,28.1,16.5,25,8.9,26.1,15,20.85
32,Abaca,Non-Food and Industrial Crops,Misamis Oriental,REGION X (NORTHERN MINDANAO),35,30,11.5,44.42,30,27,20,42.2,140,60,30,150,128,160,110,152.5,100,210,125,180,105,215,130,185,110,195.65,125,180,105.35,217.5,128,183,109,225,130,185,112,199,135,190,113.12,195.09,144.44,192,107.09,183.88,161.73,195.84,112,172.56,215.95,194.31
33,Abaca,Non-Food and Industrial Crops,Negros Occidental,REGION VI (WESTERN VISAYAS),1,1.2,1,1.15,0.81,1.06,0.88,1.02,0.75,1.3,1.5,1.65,0.85,1.21,1.7,1.68,5,3.25,3,29.29,17.36,7,6,31,16.18,6.26,6.25,31.44,16.5,6,8,32,16.2,5,7.2,30,16,4.5,7,28.12,14.58,4.47,6,27,13.85,2.44,5.57,20,9.7,1.39,3.9,12.95
34,Abaca,Non-Food and Industrial Crops,Negros Oriental,REGION VII (CENTRAL VISAYAS),120.89,62.23,71.85,23.65,111.5,51.09,111.66,50.13,115.6,86.77,106,53.44,133.41,100.44,98.7,49.05,136.69,120.85,92.94,126.2,140.67,154.9,100.51,142.61,151.4,171.32,96.31,73.39,142.2,214.96,117.28,76.77,87.42,198.75,119.63,90.14,66.48,155.18,86.03,87.75,56.81,65.98,49.87,49.62,37.76,71.55,87.35,46,29.72,46.79,68.38,33.78
35,Abaca,Non-Food and Industrial Crops,Northern Samar,REGION VIII (EASTERN VISAYAS),1327.25,1776.78,1145.42,1198.25,1359.25,1817.15,1990.37,2029.17,1402.75,1853.49,2020.13,2053.52,1419.58,1881.29,2051.44,2081.24,1438.22,1904.81,2082.21,2154.08,1429.25,1865.15,2095.75,2160,1200,1801.1,2075.15,2165,1204.15,1803.1,2058.65,2169,1199,1785.15,2003,2162,1200.15,1786.5,2006,2158,1095,1720.25,2004,2155,1097,1722,2006.15,2157,1005,1721,2004.5,2153
36,Abaca,Non-Food and Industrial Crops,Oriental Mindoro,MIMAROPA REGION,11.65,23.65,16.57,10.69,15.56,24.15,18.59,9.26,15.3,19.58,21.28,16.5,22.6,18.45,19.2,15.67,24.97,29.83,13.28,21.66,26.96,26.16,15.72,10.8,19.12,15.26,12.6,19.18,23.06,13.6,12.75,21.9,25.95,22.85,13.52,17.93,26.99,21.65,15.74,18.56,10.36,15.59,14.81,21.21,9.45,14.91,14.74,24.76,8.71,13.09,18.02,36.44
37,Abaca,Non-Food and Industrial Crops,Palawan,MIMAROPA REGION,0.8,2.95,6.2,0.6,0.85,3.9,6.6,6.19,8.95,5.75,8,7.15,3.65,9.25,13.7,14.8,9.01,17.36,10.86,19.77,9.91,11.22,6.15,4.1,9.38,10.66,11.38,6.45,1.9,15.33,18.74,7.65,2.79,11.63,18.2,7.48,2.68,10.78,18.45,5.68,2.85,10.12,19.33,6.12,3.84,11.71,21.8,5.26,3.2,12.43,19.8,3.76
38,Abaca,Non-Food and Industrial Crops,Quezon,REGION IV-A (CALABARZON),0,0.14,0,0,0.4,0.25,0.1,0.6,0.23,0.05,3.8,4.05,0.3,4.02,4,3.9,0,0,0,0,0,2.01,0,0,0,2.61,0.27,2,3.08,1.31,0,1,0.4,1,2.3,0.04,0.85,0.6,2.2,0.86,0,0.03,0,0,0,0.3,1.9,0,0,0.2,2.38,0
39,Abaca,Non-Food and Industrial Crops,Samar,REGION VIII (EASTERN VISAYAS),435,575,477,320,432,574,217.26,151.33,433.25,580,220,149.14,443.25,593,220.15,125,400,560,215,95,408,566,218,126,418,548,221,126.25,430,560,225,127,440,565,245,130,478.32,560.65,262.22,132.92,261.83,554.5,220.22,138.45,185.35,502.99,174.77,116.83,158.88,486.19,125.52,90.59
40,Abaca,Non-Food and Industrial Crops,Sarangani,REGION XII (SOCCSKSARGEN),50,51,53.25,55.25,55,52,40.42,31.67,42,51,40.5,37,43,53,41,38,44,53.25,42,119.17,46,50,41.75,115,45,48,41,100,47,50,45,103,50,55,46,130,70,60,46.5,130.5,72,56,44.5,132,74,75,70,130,74.33,70,76.77,112.58
41,Abaca,Non-Food and Industrial Crops,Sorsogon,REGION V (BICOL REGION),490.17,538.84,276.5,511.66,465.66,495.57,257.14,562.82,474.97,520.35,192.86,312.9,403.72,442.3,187.07,303.51,395.64,420.19,140.3,212.46,363.99,215.14,70.15,159.34,272.99,161.35,59.62,143.41,245.61,164.59,60.81,146.28,250.52,166.24,64.41,147.74,240.5,152.94,64.73,103.41,223.66,137.65,55.02,87.89,190.11,130.77,49.52,70.31,199,132.08,54.24,74.42
42,Abaca,Non-Food and Industrial Crops,South Cotabato,REGION XII (SOCCSKSARGEN),148.3,155.12,124.31,148.23,149.78,159.62,139.23,214,158.39,168.25,153.15,221,164.33,172.2,153.38,225.42,166.55,171.34,155.12,233.31,167.97,167.91,153.18,235,164.11,166.15,148.35,238.24,169.03,169.28,152.8,254.15,182.79,172.67,161.35,259.23,173.01,171.81,169.42,272.19,207.61,168.37,166.25,271.65,201.9,151,170.91,294.76,194.35,146.59,164.83,283.2
43,Abaca,Non-Food and Industrial Crops,Southern Leyte,REGION VIII (EASTERN VISAYAS),1150,1150,820,1105,1120,1152,674.99,554.9,1117,1110,668,477,785,998,570.26,145,672,872,465.33,146.32,673.2,848.77,443.27,141.6,550,865.26,465.12,230,625,882.74,466.01,385,652,899.13,475.12,420,675,910.15,482.65,480,682,920.3,495.2,500,745,965.95,608.5,520,280.32,289.79,380.5,400
44,Abaca,Non-Food and Industrial Crops,Sultan Kudarat,REGION XII (SOCCSKSARGEN),7.68,8.35,6.82,6.55,6.92,6.56,5.64,4,5.73,5.9,5.08,3.75,3.88,3.99,3.95,3.8,3.9,4.02,1.78,1.65,3.71,3.42,1.88,1.88,7.46,7.62,7.54,7.66,9.21,7.89,5.96,5.86,4.39,4.97,7.31,6,5.05,5.26,8.41,5.74,6.55,5.56,8.05,5.43,5.33,5.32,7.41,5.72,4.93,4.79,6.28,5.26
45,Abaca,Non-Food and Industrial Crops,Sulu,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),820.4,720,780,530,870,760,790,633.4,947,765,795,647,980,752,804,660,997,772,745,638,950,760,785,650,937,735,770,642,870,670,760,650,900,700,761,655,875,720,770,656,900,722,775,657,910,724,780,660,911,725,781,662
46,Abaca,Non-Food and Industrial Crops,Surigao del Norte,REGION XIII (CARAGA),8,1.7,2.9,10,5,2.11,3,7.5,3,2.5,2.2,3,2,1.8,1.8,2.5,1,1.5,1.45,1.4,0.05,1,2,2.05,0.5,0.78,2.57,1.01,0.6,0.73,2.17,0.93,1.08,0.97,1.94,0.85,0.88,1.25,1.33,0.7,0.8,0.8,1.18,0.65,0.6,0.55,0.51,1.17,0.41,0.28,0.2,0.05
47,Abaca,Non-Food and Industrial Crops,Surigao del Sur,REGION XIII (CARAGA),965,1200,1092,838.1,840.22,1171.56,1050.5,932.97,750,1100,1150,920,714.5,1050,950,910,716,1055,960,890,713.71,1280,1398.36,987.61,729.61,1295.32,1446.07,990.1,574.17,1207.6,1322.58,900,513.14,1321.2,1129.49,1185.96,563.35,1416.72,1058.43,1102.95,719.31,1410.83,914.47,1098,716.32,1409.24,1020,1204.25,850,1407.45,1091.41,730.86
48,Abaca,Non-Food and Industrial Crops,Tawi-tawi,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0.2,0.17,0.7,0.6,0.25,0.15,0.45,0.55,0.2,0.14,0.4,0.68,0.25,0.2,0.35,0.5,0.23,0.36,0.3,0.45,0.2,0.3,0.25,0.4,0.18,0.2,0.2,0.36,0.15,0.1,0.18,0.34,0.13,0.09,0.15,0.32,0.11,0.07,0.12,0.3,0.1,0.05,0.1,0.24,0.09,0.04,0.09,0.22,0.12,0.03,0.07,0.2
49,Abaca,Non-Food and Industrial Crops,Zamboanga Sibugay,REGION IX (ZAMBOANGA PENINSULA),18.78,16.55,16.15,36.75,26.6,68.94,97.21,101.39,74.23,82.85,55.32,90.33,50.85,38.47,42.82,50.45,60,50,40,46.22,33.87,36.71,45.12,37.03,35.28,39.26,32.59,39.08,36.18,41.27,36.29,41.37,36.91,42.71,37.83,42.83,38.83,67.26,57.46,53.51,59.62,64.05,63.43,65.72,66.97,57.08,65.83,57.65,67.27,62.36,64.43,60.63
50,Abaca,Non-Food and Industrial Crops,Zamboanga del Norte,REGION IX (ZAMBOANGA PENINSULA),18.43,18.12,19.35,17.75,17.45,37.81,47.58,58.01,29.79,38.87,49.66,48.78,31.71,40.25,52.12,50.45,35.66,44.98,54.12,52.19,37.87,49.11,55.02,55.05,38.77,50.2,39.74,40.38,43.48,50.74,44.27,33.25,36.01,43.29,45.1,34.94,45.63,54.23,46.03,42.87,42.43,49.89,50.69,47.95,39.25,51.29,57.27,47.08,47.04,67.96,58.58,47.93
51,Abaca,Non-Food and Industrial Crops,Zamboanga del Sur,REGION IX (ZAMBOANGA PENINSULA),13.13,13.92,7.21,4.51,13.48,14.53,29.72,44.75,15.61,14.61,24.37,44.28,17.94,15.63,28.17,49.51,14.84,15.71,31.61,72.82,15.13,16.75,37.22,74.58,16.01,15.14,26.88,76.58,17.43,16.27,24.87,73.42,19.18,17.16,26.78,66.94,18.05,20.32,28.47,62.64,17.2,18.89,30.52,71.66,16.41,20.65,30.19,77.12,17.75,22.96,27.98,71.91
52,Abaca Leafsheath,Non-Food and Industrial Crops,Agusan del Norte,REGION XIII (CARAGA),1.5,1.1,0,6.5,1.4,0.5,0,0,1.2,0.2,0,3,1,0.18,0,5,1.1,0.15,0,7,5,0.12,0,7.5,8,0.15,0,8,9,0.18,0,10,10,0.25,0,12,11,0.3,0,14,12,0.32,0,15,13,0.35,0,14,11,0.34,0,14.5
53,Abaca Leafsheath,Non-Food and Industrial Crops,Albay,REGION V (BICOL REGION),1.23,0.94,1.08,1.05,1.27,0.97,1.13,1.1,1.3,1.01,1.19,1.15,1.33,1.11,1.33,1.27,1.46,1.22,0.93,1.08,1.53,1.25,0.96,1.17,1.63,1.31,1.01,1.26,1.71,1.38,1.11,1.32,1.76,1.44,1.17,1.39,1.85,1.48,1.22,1.42,1.82,1.46,1.12,1.36,1.67,1.41,0.94,1.2,1.5,1.3,0.7,1.1
54,Abaca Leafsheath,Non-Food and Industrial Crops,Bukidnon,REGION X (NORTHERN MINDANAO),0.5,0,1.8,0,0.5,0,1.9,0,0,0.5,1.95,0,0.5,0.6,2,0,0.6,0.7,2,0,0.7,0.8,1,0,0.65,0.75,1.5,1,0.75,0.7,1.6,1.2,0.8,0.69,1.7,1.25,0.85,0.68,1.75,1.3,1,0.69,1.84,1.42,1,0.7,1.87,1.43,1,0.7,1.84,1.42
55,Abaca Leafsheath,Non-Food and Industrial Crops,Leyte,REGION VIII (EASTERN VISAYAS),0.55,12,0.7,0.78,0.4,10,0.69,0.7,0.41,9.5,0.65,0.72,0.43,9.55,0.66,0.28,0.11,2.06,0.15,0.25,0.12,2.1,0.16,0.26,0.12,1.9,0.14,0.24,0,1.5,0.15,0.21,0,0.98,0.23,0.21,0,0.98,0.31,0.2,0,1.11,0.32,0.3,0,0.67,0.31,0.31,0,0.65,0.32,0.24
56,Abaca Leafsheath,Non-Food and Industrial Crops,Negros Oriental,REGION VII (CENTRAL VISAYAS),0.75,0.55,1.15,1.25,0.85,1,1.25,1.85,0.9,1.42,1,2,0.93,1.5,1,2.25,0.95,1.66,1.25,2.35,1,1.7,1.5,1.7,1.25,1.78,1.85,1.25,1.33,2,2,1.2,1.3,2.25,2.1,1.22,1.25,2.5,2.25,1.15,0.9,2.2,1.5,1,1.05,2.1,1.22,0.85,1,2,1,0.7
